ts,lane,transport,nav,page,path,cat,robots,authUsed,headless,method,status,class,ms,ttfb,domMs,bytes,subFailed,httpErrors,consoleErrors,retryAfter,redirect,note,err
2026-07-30T19:33:27.738Z,http_user_slow,http,,trades_history,/trades/history,обмены,True,True,,,200,login_wall,461,,,51604,,,,,,,
2026-07-30T19:33:34.321Z,http_user_slow,http,,trade_detail,/trades/79211797,обмены,True,True,,,200,login_wall,457,,,36420,,,,,,,
2026-07-30T19:33:40.821Z,http_user_slow,http,,notifications,/notifications,уведомления,True,True,,,200,login_wall,457,,,33174,,,,,,,
2026-07-30T19:33:48.490Z,http_user_slow,http,,messages,/messages,уведомления,True,True,,,200,login_wall,447,,,33513,,,,,,,
2026-07-30T19:33:53.522Z,http_user_slow,http,,card_want,/cards/2530/offers/want,заявки,False,True,,,200,login_wall,457,,,74581,,,,,,,
2026-07-30T19:33:58.610Z,http_user_slow,http,,card_users,/cards/2530/users,заявки,False,True,,,200,login_wall,642,,,131361,,,,,,,
2026-07-30T19:34:06.616Z,http_user_slow,http,,my_cards,/users/1340879/cards,мои карты,False,True,,,200,login_wall,478,,,68622,,,,,,,
2026-07-30T19:34:11.340Z,http_user_slow,http,,my_profile,/users/1340879,мои карты,False,True,,,200,ok,2148,,,609925,,,,,,,
2026-07-30T19:34:18.924Z,http_user_slow,http,,my_friends,/users/1340879/friends,мои карты,False,True,,,200,login_wall,442,,,35776,,,,,,,
2026-07-30T19:34:23.574Z,http_user_slow,http,,settings,/settings,аккаунт,True,True,,,200,login_wall,440,,,49138,,,,,,,
2026-07-30T19:34:28.021Z,http_user_slow,http,,balance,/balance,аккаунт,True,True,,,200,login_wall,460,,,77929,,,,,,,
2026-07-30T19:34:35.147Z,http_user_slow,http,,cards_catalog,/cards,каталог карт,False,True,,,200,login_wall,551,,,96554,,,,,,,
2026-07-30T19:34:40.847Z,http_user_slow,http,,cards_remelt,/cards/remelt,каталог карт,False,True,,,200,login_wall,449,,,40378,,,,,,,
2026-07-30T19:34:47.792Z,http_user_slow,http,,cards_upgrade,/cards/upgrade,каталог карт,False,True,,,200,login_wall,451,,,39962,,,,,,,
2026-07-30T19:34:54.964Z,http_user_slow,http,,cards_frame,/cards/frame,каталог карт,False,True,,,200,login_wall,436,,,60377,,,,,,,
2026-07-30T19:35:00.008Z,http_user_slow,http,,market,/market,каталог карт,False,True,,,200,login_wall,446,,,65823,,,,,,,
2026-07-30T19:35:05.502Z,http_user_slow,http,,auctions,/auctions,каталог карт,True,True,,,200,login_wall,450,,,94025,,,,,,,
2026-07-30T19:35:10.713Z,http_user_slow,http,,decks,/decks,каталог карт,False,True,,,200,login_wall,435,,,70545,,,,,,,
